,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.40,1.20,3.61,11.02,20.24,41.08,58.72,76.15
torb,0.60,2.81,10.02,22.44,35.47,56.11,70.74,81.36
sift,0.00,1.40,5.81,14.03,22.24,37.27,54.91,70.74
tsift,0.80,3.21,14.23,26.05,45.29,66.53,79.56,88.38
spoint,0.80,2.40,13.60,38.60,60.20,77.20,84.60,89.80
tspoint,0.60,1.80,9.40,32.80,57.20,79.20,87.00,91.20
alike,0.20,0.20,0.60,2.40,5.60,8.60,13.20,18.60
talike,0.20,0.40,1.20,2.20,4.00,9.00,15.80,25.60
sphorb,0.20,1.40,9.42,29.06,47.90,69.74,82.97,89.38
