,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.20,1.60,15.23,28.86,41.88,56.91,69.34,84.97
torb,2.20,8.42,27.25,42.28,54.51,67.94,77.96,87.58
corb,0.00,0.60,7.40,23.40,34.60,52.60,68.20,82.80
cporb,0.00,2.00,16.00,37.20,51.20,64.40,77.20,89.60
sift,0.00,1.80,13.63,26.25,39.48,54.71,68.14,84.97
tsift,0.40,5.01,27.25,50.30,66.53,78.56,87.58,93.59
csift,0.60,3.21,16.43,26.85,42.08,60.32,71.94,83.57
cpsift,1.20,5.61,16.23,33.87,49.10,62.93,76.35,87.37
spoint,0.60,7.00,34.80,57.60,69.80,81.00,85.40,93.20
tspoint,0.40,3.60,28.60,54.80,70.40,81.80,88.00,92.60
cspoint,1.20,4.81,26.25,45.29,61.72,74.95,81.16,90.58
cpspoint,1.20,8.80,37.00,56.20,70.20,81.40,86.00,90.80
alike,0.20,0.20,1.80,4.40,6.60,9.80,13.60,21.00
talike,0.00,0.40,1.80,4.60,6.60,12.40,19.00,30.40
calike,0.20,0.40,1.20,3.60,6.40,11.40,20.00,30.40
cpalike,0.60,0.80,2.80,6.40,9.40,17.80,24.80,38.40
sphorb,0.40,5.61,33.47,54.71,69.74,82.16,89.98,95.99
